"","Nama.Latin","closestMatch","ANJA","ANJAS","SMM","KAL","PMP","PPM","ANJAP"
"374","Locusta migratoria","0",0,0,0,0,0,0,0
"375","Locustella fasciolata","0",0,0,0,0,0,0,0
"376","Lonchura fuscans","0",0,0,0,0,0,0,0
"377","Lonchura maja","0",0,0,0,0,0,0,0
"378","Lonchura punctulata","0",0,0,0,0,0,0,0
"379","Lonchura tristissima","0",0,0,0,0,0,0,0
"380","Lophotriorchis kienerii","0",0,0,0,0,0,0,0
"381","Lophura erythrophthalma","0",0,0,0,0,0,0,0
"382","Loriculus aurantiifrons","0",0,0,0,0,0,0,0
"383","Loriculus galgulus","0",2,0,0,0,0,0,0
"384","Lorius lory","0",0,0,0,0,9,6,128
"385","Lutra sp.","0",0,0,0,0,0,0,0
"386","Lutrinae","0",0,0,0,0,0,0,0
"387","Lutrogale perspicillata","0",0,0,0,0,0,0,0
"388","Lutung","0",0,0,0,0,0,0,0
"389","Lycodon capucinus","0",0,0,0,3,0,0,0
"390","Lyssa zampa","0",0,0,0,0,0,0,0
"391","Lyssa Zampa","0",0,0,0,0,0,0,0
"392","Macaca fascicularis","0",452,7,133,150,0,0,0
"393","Macaca nemestrina","0",57,1,0,40,0,0,0
"394","Macroglossum regulus","0",0,0,0,0,0,0,0
"395","Macropsita pusio","0",0,0,0,0,0,0,0
"396","Macropygia amboinensis","0",0,0,0,0,0,0,4
"397","Macropygia nigrirostris","0",0,0,0,0,0,0,1
"398","Mahasena carbetti","0",0,0,0,0,0,0,0
"399","Malayopython reticulatus","0",0,0,0,4,0,0,0
"400","Malurus alboscapulatus","0",0,0,0,0,0,3,0
"401","Malurus cyanocephalus","0",0,0,0,0,0,4,12
"402","Manucodia ater","0",0,0,0,0,6,1,0
"403","Marops varidis","Merops viridis",0,0,0,0,0,0,0
"404","Megaderma spasma","0",0,0,0,0,0,0,0
"405","Megalaima australis","0",0,0,0,0,0,0,0
"406","Megalaima australis duvaucelii","0",0,0,0,0,0,0,0
"407","Megalaima raflesii","0",0,0,0,0,0,0,0
"408","Megapodius freycinet","0",0,0,0,0,0,0,0
"409","Megapodius reinwardt","0",0,0,0,0,0,0,0
"410","Melidora macrorrhina","0",0,0,0,0,0,0,0
"411","Melilestes megarhynchus","0",0,0,0,0,0,0,0
"412","Meliphaga analoga","0",0,0,0,0,0,0,0
"413","Meliphaga aruensis","0",0,0,0,0,0,0,0
"414","Meliphaga aruensis","0",0,0,0,0,0,0,3
"415","Meliphaga flaviristus","0",0,0,0,0,0,0,0
"416","Melloria quoyi","0",0,0,0,0,0,0,0
"417","Melpihaga montana","0",0,0,0,0,0,0,9
"418","Merops leschenaulti","0",0,0,0,0,0,0,0
"419","Merops ornatus","0",0,0,0,0,0,0,0
"420","Merops viridis","0",0,0,1,0,0,0,0
"421","Merops philippinus","0",0,0,3,0,0,0,0
"422","Microcarbo melanoleucos","0",0,0,0,0,0,0,0
"423","Microhierax fringillarius","0",0,1,0,0,0,0,0
"424","Micropechis ikaheca","0",0,0,0,0,0,0,1
"425","Micropsitta pusio","0",0,0,0,0,0,0,11
"426","Milvus migrans","0",0,0,0,0,0,0,1
"427","Mino anais","0",0,0,0,0,0,0,0
"428","Mino dumonti","Mino dumontii",0,0,0,0,1,0,0
"429","Mino dumontii","0",0,0,0,0,0,9,51
"430","Mixornis gularis","0",0,0,0,0,0,0,0
"431","Monyet","0",0,0,0,0,0,0,0
"432","Morelia amethistina","0",0,0,0,0,0,0,0
"433","Morelia viridis","0",0,0,0,0,1,0,2
"434","Motacilla cinerea","0",0,0,0,0,0,0,1
"435","Motacilla Cinerea","Motacilla cinerea",0,0,0,0,0,0,0
