,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
601,Varanus lirungensis,0,0,0,0,0,0,0,0,0
602,Varanus prasinus,0,0,0,0,0,0,0,0,0
603,Varanus salvadorii,0,0,0,0,0,0,1,0,1
604,Varanus salvator,0,8,2,95,29,5,0,3,142
605,Various,0,0,0,0,0,0,0,0,0
606,Vespa affinis,0,0,0,0,0,0,0,0,0
607,Vespa ffinis,Vespa affinis,0,0,0,0,0,0,0,0
608,Wallago sp,0,0,0,0,0,0,0,0,0
609,Wayang,0,0,0,0,0,0,0,0,0
610,Ypthima fasciata,0,0,0,0,1,0,0,0,1
611,Zanclostomus javanicus,0,0,0,0,0,0,0,0,0
612,Zapornia pusilla,0,0,0,0,0,0,0,1,1
